question;choix1;choix2;choix3;choix4;num_bonne_reponse
Quel est le cré²ateur du jeu Super Mario ?;Shigeru Miyamoto;Hideo Kojima;Satoru Iwata;Sid Meier;1
Quel studio est à l'origine de The Witcher 3 ?;CD Projekt Red;Bethesda;Ubisoft;Nintendo;1
Lequel de ces jeux est un FPS classique ?;FIFA;Civilization;DOOM;Starcraft;3
Qui est l'éditeur de Grand Theft Auto V ?;EA Sports;Rockstar Games;Ubisoft;2K Games;2
Quel jeu Nintendo permet d'attraper des créatures dans une boule ?;Digimon;Pokemon;Zelda;Kirby;2
Quel est le héros de la saga Halo ?;Doomguy;Samus;Cortana;Master Chief;4
Quel est le nom du créateur de Metal Gear Solid ?;Hideo Kojima;Shigeru Miyamoto;Gabe Newell;Todd Howard;1
A quel héros associe-t-on la Master Sword ?;Link;Ganon;Mario;Luigi;1
Qui est le rival de Sonic chez Nintendo ?;Mario;Pikachu;Samus;Bowser;1
Quel jeu affiche Victory Royale à la fin d'une partie gagnée ?;PUBG;Apex Legends;Fortnite;Counter Strike;3
Quel personnage de Street Fighter lance un Hadoken ?;Ryu;Zangief;Chun Li;M. Bison;1
Quel grand RPG développé par Bethesda permet d'être un Dragonborn ?;Skyrim;Oblivion;Morrowind;Fallout;1
Quel est le studio derrière League of Legends ?;Riot Games;Blizzard;Valve;Epic Games;1
Quel jeu de simulation agricole est développé par ConcernedApe ?;Stardew Valley;Harvest Moon;Farmville;Factorio;1
Quel jeu Blizzard est un FPS en équipe ?;Overwatch;StarCraft;Diablo;Warcraft;1
Quel boss final affronte-t-on dans Dark Souls ?;Gwyn;Artorias;Seath;Ornstein;1
Dans quel jeu trouve-t-on le héros Geralt de Riv ?;Diablo;The Witcher;Dragon Age;Fable;2
Lequel est un jeu de baston ?;Tekken;Sims;Football Manager;Gran Turismo;1
Dans quel jeu Rockstar incarne-t-on un cowboy ?;L.A. Noire;Max Payne;Red Dead Redemption;GTA;3
Quel personnage de Mortal Kombat crie Get Over Here! ?;Scorpion;Sub-Zero;Raiden;Liu Kang;1
Lequel de ces jeux est un battle royale ?;Overwatch;PUBG;Starcraft;Tekken;2
Dans quel jeu trouve-t-on le héros Snake ?;Call of Duty;Metal Gear Solid;Assassin's Creed;Splinter Cell;2
Qui est l'auteur de Undertale ?;Toby Fox;Notch;Shigeru Miyamoto;Riot Games;1
Quel est le nom du royaume de The Legend Of Zelda ?;Kanto;Hyrule;Johto;Sinnoh;2
Dans quel jeu est-on un crewmate ou un imposteur ?;Among Us;Fall Guys;PUBG;Fortnite;1
Lequel de ces jeux est un RPG japonais ?;Persona 5;Counter Strike;NBA 2K;Call of Duty;1
Dans quel jeu est-ce que l'on attrape des insectes avec un filet ?;Animal Crossing;Pokemon;Minecraft;League of Legends;1
Qui est le méchant principal des jeux The Legend of Zelda ?;Bowser;Ganon;Dr. Robotnik;Ridley;2
De quel univers provient Kratos ?;Halo;Final Fantasy;The Elder Scrolls;God of War;4
Dans quel jeu cree-t-on des circuit de montagnes russes ?;Sim City;RollerCoaster Tycoon;Minecraft;GTA;2
Qui est la princesse a sauver dans Donkey Kong ?;Pauline;Peach;Zelda;Samus;1
