question;choix1;choix2;choix3;choix4;num_bonne_reponse
Qui réalise Edward aux mains d'argent en 1990 ?;Terry Gilliam;Tim Burton;Guillermo del Toro;James Cameron;2
Quel film d'horreur de Wes Craven sorti en 1996 a relancé l'intérêt pour les slashers movies ?;Halloween H20;Souviens-toi… l'été dernier;Scream;Urban Legend;3
Quel film de 1999 avec Keanu Reeves a révolutionné les effets spéciaux au cinéma ?;Matrix;The Replacement;Speed 2;Sixieme Sens;1
Dans quel film de 1994 Tom Hanks incarne-t-il un homme simple qui traverse plusieurs décennies de l'histoire américaine ?;Philadelphia;Forrest Gump;Seul au monde;Apollo 13;2
Quel acteur joue le rôle principal dans Fight Club (1999) aux côtés de Brad Pitt ?;Matt Damon;Leonardo DiCaprio;Edward Norton;Christian Bale;3
Quel film Spider-Man sorti en 2021 réunit les trois incarnations du héros à l'écran ?;Spider-Man : Far From Home;Spider-Man : No Way Home;Spider-Man : Homecoming;Spider-Man : Into the Spider-Verse;2
Quel réalisateur a récemment réadapté le roman de science-fiction de l'écrivain Franck Herbert au cinéma ?;Dennis Villeneuve;David Lynch;Ridley Scott;James Cameron;1
Quelle actrice a succédé à Charlize Theron dans le rôle de Furiosa dans la saga Mad Max ?;Margot Robbie;Zendaya;Elle Fanning;Anya Taylor-Joy;4
Quel film de Brady Corbet sorti en 2025 avec Adrien Brody dure plus de 3h30 et traite de l'immigration ?;The Brutalist;The Artist;The Life Of Chuck;The Last Showgirl;1
En quelle année les frères Lumière ont-ils présenté leur cinématographe au public pour la première fois à Paris ?;1891;1895;1900;1905;2
Quel film sorti en 1927 est considéré comme le premier film parlant de l'histoire du cinéma ?;Le Chanteur de jazz;Metropolis;Nosferatu;Les Temps modernes;1
Comment étaient affichés les dialogues dans les films muets ?;Par des sous titres;Par des cartons entre les scènes;Par des bulles comme les BD;Par des narrateurs;2
Sur quoi reposait principalement la narration dans les films muets ?;Des textes écrits uniquement;Des expressions faciales et gestes des acteurs;Des effets sonores;Des musiques;2
Quel film de Damien Chazelle sorti en 2016 avec Ryan Gosling et Emma Stone a remporté plusieurs Oscars ?;Whiplash;First Man;La La Land;Babylon;3
Quel film musical de 1961 est une adaptation d'un succès de Broadway de 1957 sur des gangs rivaux à New York ?;West Side Story;Grease;The Sound of Music;Hair;1
Quel acteur interprète la scène culte Make'Em Laugh dans'Chantons sous la pluie' ?;Gene Kelly;Donald O'Connor;Cyd Charisse;Debbie Reynolds;2
Quel est le nom du film de Jacques Demy sorti en 1964 qui met en scène Catherine Deneuve et Françoise Dorléac ?;Les Parapluies de Cherbourg;Les Demoiselles de Rochefort;Peau d'âne;Une chambre en ville;2
Quel personnage du'Magicien d'Oz' (1939) chante la chanson'Somewhere Over the Rainbow' ?;Dorothy;Glinda;Le Lion;Epouvantail;1
Dans quelle ville se déroule l'action du film La Haine de Mathieu Kassovitz sorti en 1995 ?;Lyon;Marseille;Lille;Paris;4
Audrey Tautou joue le rôle-titre dans quel film de Jean-Pierre Jeunet sorti en 2001 ?;Le Fabuleux Destin d'Amélie Poulain;La Cité des Enfants Perdus;Un Long Dimanche de Fiançailles;Micmacs à tire-larigot;1
Jean-Luc Godard révolutionne le cinéma français en 1960 avec un film mettant en scène Jean-Paul Belmondo et Jean Seberg. Lequel ?;Pierrot le Fou;Alphaville;A bout de souffle;Vivre sa vie;3
Quel acteur partage l'affiche avec François Cluzet dans'Intouchables' ?;Omar Sy;Jean Dujardin;Vincent Cassel;Dany Boon;1
Qui a interprété le rôle mythique de Fantômas dans la trilogie comique des années 1960 ?;Jean Paul Belmondo;Louis de Funès;Jean Marais;Bourvil;3
Qui est le compositeur emblématique des musiques des films de la saga Star Wars ?;Hans Zimmer;James Horner;John Williams;Danny Elfman;3
Dans Pulp Fiction de Quentin Tarantino, laquelle de ces chansons accompagne la célèbre scène de twist entre Uma Thurman et John Travolta ?;Misirlou;You Never Can Tell;Girl, You'll Be a Woman Soon;Son of a Preacher Man;2
My Heart Will Go On, chanson iconique interprétée par Céline Dion, est extraite de la BO de quel film ?;Armageddon;Titanic;Romeo + Juliet;Bodyguard;2
Dans Drive (2011), quelle chanson synthwave est immédiatement associée à l'ambiance du film et apparaît lors de la scène d'ouverture ?;Real Hero - College & Electric Youth;Under Your Spell - Desire;Tick of the Clock - Chromatics;Nightcall - Kavinsky;4
Quelle ville est menacée par un requin géant dans Les Dents de la Mer (Jaws) ?;Amity;Crystal Lake;Elm Street;Woodsboro;1
Comment s'appelle le tueur au masque de hockey dans la série Vendredi 13 ?;Freddy Krueger;Michael Myers;Jason Voorhees;Leatherface;3
Dans Scream, qui est la première victime du tueur Ghostface ?;Billy Loomis;Casey Becker;Tatum Riley;Steven Orth;4
Lequel de ces films est considéré comme un des premiers found footage d'horreur, tourné en 1999 ?;Paranormal Activity;Cloverfiedld;The Blair Witch Project;REC;3
À qui doit-on la saga Saw, connue pour ses pièges cruels ?;Wes Craven;James Wan;John Carpenter;Sam Raimi;2
Quel est le nom du démon qui possède Regan dans L'Exorciste ?;Pazuzu;Azazel;Lucifer;Balthazar;1
Quel film de Robert Eggers se déroule en Nouvelle-Angleterre au XVIIe siècle et traite de sorcellerie familiale ?;The Witch;The Lighthouse;Midsommar;Hereditary;1
Quel film de Stanley Kubrick est adapté d'un roman de Stephen King et met en scène Jack Torrance dans un hôtel isolé ?;Carrie;Misery;The Shining;It;3
Dans Jurassic Park, qui incarne le professeur Alan Grant ?;Jeff Goldblum;Sam Neill;Richard Attenborough;Liam Neeson;2
Quelle saga initiée en 1977 se déroule dans une galaxie lointaine, très lointaine ?;Star Trek;Star Wars;Battlestar Galactica;Stargate;2
Dans Matrix, à quelle pilule accepte-t-on de dire oui pour découvrir la vérité ?;La pilule rouge;La pilule bleue;La pilule verte;La pilule jaune;1
Dans la saga Transformers, comment s'appelle le chef des Autobots ?;Megatron;bumblebee;Starscream;Optimus Prime;4
Héros d'un film d'aventure sortie en 1981 sur un archéologue, réalisé par Steven Spielberg, qui suis-je ?;Indiana Jones;Lara Croft;Allan Quatermain;Benjamin Gates;1
Quel film de James Cameron a dépassé Titanic au box-office mondial ?;Avatar;Terminator 2;Aliens;The Abyss;1
Qui incarne le personnage principal dans Oldboy de Park Chan-wook ?;Choi Min-sik;Lee Byung-hun;Song Kang-ho;Kang-ho Song;1
Quelle catastrophe touche Séoul dans Dernier train pour Busan ?;Tremblement de terre;Tsunami;Invasion de zombies;Panne électrique;3
