question;choix1;choix2;choix3;choix4;num_bonne_reponse
Qui est l'auteur de One Piece ?;Akira Toriyama;Eiichiro Oda;Masashi Kishimoto;Yoshihiro Togashi;2
Quel est le titre français de Shingeki no Kyojin ?;L'Attaque des Titans;Le Dévoreur de Mondes;Les Guerriers Géants;La Bataille des Murs;1
Dans Dragon Ball, comment s'appelle le père de Goku ?;Bardock;Raditz;Vegeta;Baby;1
Dans Death Note, qui est le dieu de la mort ?;L;Light;Ryuk;Near;3
Quel manga est centré sur le volley-ball ?;Eyeshield 21;Slam Dunk;Haikyuu!!;Prince of Tennis;3
Quel est le nom du héros invincible de One Punch Man ?;Saitama;Genos;Tatsumaki;Garou;1
Dans Naruto, quel est le nom du village caché de la brume ?;Konoha;Suna;Kiri;Iwa;3
Dans Fairy Tail, comment s'appelle le dragon de feu qui a élevé Natsu ?;Acnologia;Igneel;Laxus;Atlas Flame;2
Dans Hunter x Hunter, quel est l'arme de Kurapika ?;Nunchaku;Lance;Epee;Chaines;4
Dans Fullmetal Alchemist, quels sont les prénoms des deux frères Elric ?;Edward et Alphonse;SonGoku et Vegeta;Izuku et Katsuki;Naruto et Sasuke;1
Quelle organisation veut supprimer les pirates dans One Piece ?;Révolutionnaires;Marines;Grands Corsaires;Yonko;2
Dans Bleach, quel est le nom du capitaine de la 6ème division ?;Renji;Byakuya;Gin;Ulquiorra;2
Dans L'Attaque des Titans, comment s'appellent les 3 murs ?;Maria, Rose et Sina;Eren, Mikasa et Armin;Paradis, Mahr et Eldia;Shi, Gan et Shina;1
Qui est le chef de l'Akatsuki ?;Itachi;Madara;Pain;Deidara;3
Quel est le nom de la fusion entre Goten et Trunks ?;Gotrunks;Trungoten;Super Saiyan 3;Gotrenks;4
Qui est le meilleur ami de Gon dans Hunter x Hunter ?;Kurapika;Leorio;Killua;Hisoka;3
Dans Demon Slayer, qui est l'antagoniste principal ?;La 1ère Lune;Akaza;Muzan;Nezuko;3
Quel est le gear de Luffy qui lui permet de faire grandir ses membres ?;Gear Second;Gear Third;Gear Fourth;Gear Fifth;2
Dans Naruto, qui scelle le démon Kyubi en Naruto ?;Kushina;Minato;Hiruzen;Sasuke;2
Comment s'appelle l'examen dans Hunter x Hunter ?;;Hunter x Hunter;Hunter Tournament;Examen Hunter;Davy Back Figth;3
Quels sont les armes favorites de Zoro dans One Piece ?;Pistolets;Sabres;Fouets;Poings;2
De qui est composée l'équipe 8 dans Naruto ?;Naruto, Sakura & Sasuke;Shikamaru, Choji & Ino;Kiba, Hinata & Shino;Neji, Tenten & Rock Lee;3 
Quel est le nom du club de volleyball dans Haikyuu !! ?;Karasuno;Fukurodani;Nekoma;Aoba Johsai;1
Dans l'Attaque des Titans, qui succède à Erwin Smith en tant que général du bataillon d'exploration ?;Levi Ackerman;Eren Jaeger;Armin Arlert;Hange Zoë;4
Qui est l'auteur de Demon Slayer ?;Koyoharu Gotouge;Tite Kubo;Akira Toriyama;Hajime Isayama;1
Pourquoi Sasuke souhaite-t-il tuer son frère Itachi ?;Pour venger leur clan;Pour devenir Hokage;Pour obtenir le pouvoir;Pour protéger Konoha;1
Quel est l'objectif de la classe 3-E dans Assassination Classroom ?;Devenir des ninjas;Aller sur la lune;Tuer leur professeur;Trouver un trésor;3
Dans My Hero Academia, qui a transmis One For All à All Might ?;Gran Torino;Mt. Lady;Nana Shimura;All For One;3
22 ans, célibataire et libre comme l'air, qui suis-je ?;Onizuka;Gintama;Koro-Sensei;Ebisu;1
Dans Detective Conan, quel est le vrai nom de Conan ?;Heiji Hattori;Shinichi Kudo;Ran Mouri;Jodie Starling;2
Quel manga est le plus vendu au monde ?;Naruto;Dragon Ball;Attack on Titan;One Piece;4
Qui est l'auteur de Yu Yu Hakusho ?;Tite Kubo;Akira Toriyama;Yoshihiro Togashi;Masashi Kishimoto;3
Dans quel manga trouve-t-on le groupe de motards les Tokyo Manji ?;Bleach;Tokyo Revengers;Fairy Tail;Black Clover;2
Quel manga de Naoki Urasawa est centré sur un serial killer nommé Johan ?;Monster;20th Century Boys;Pluto;Billy Bat;1
Quel manga sportif suit l'ascension d'Hanamichi Sakuragi dans le basket ?;Kuroko no Basket;Slam Dunk;Haikyuu!!;Free!;2
Quel est la technique utilisé par Goku pour vaincre Kid Buu ?;Kamehameha;1000 ans de souffrance;Kaio Ken;Genki Dama;4
Quelle attaque mythique Seiya utilise-t-il dans Les Chevaliers du Zodiaque (Saint Seiya) ?;Excalibur;Météores de Pégase;Sharingan;Kamusari;2
Comment se nomme le systeme de pouvoirs dans Jojo's Bizarre Adventure ?;Aura;Stands;Nen;Haki;2
Quelle est la créatrice de Sailor Moon ?;Rumiko Takahashi;CLAMP;Naoko Takeuchi;Hiromu Arakawa;3
Qui s'avère être Miss All Sunday dans One Piece ?;Nico Robin;Boa Hancock;Vivi;Nami;1
Quel personnage féminin est capitaine de la 4ème division dans Bleach ?;Retsu Unohana;Nemu Kurotsuchi;Yoruichi Shihouin;Soi Fon;1
De qui succède Boa Hancock en tant que capitaine des Kuja Pirates ?;Shakuyaku (Shakky);Gloriosa;Tritoma;Charlotte Lin Lin;3
Dans Naruto, quel démon à queues prend possession de Gaara lors de sa transformation ?;Shukaku;Kurama;Gyuki;Matatabi;1
Dans Fullmetal Alchemist, quel homoncule est maître des transformations et du mimétisme ?;Lust;Envy;Gluttony;Wrath;2
La cavalerie est arrivée ! est une célèbre réplique de quel personnage ?;Guts;Shanks;Koro-Sensei;All Might;4
Dans quel manga le héros souhaite-t-il devenir le plus grand général sous les cieux ?;Vagabond;Attaque des Titans;Kingdom;Berserk;3
Quel est le nom du protagoniste de Vagabond ?;Musashi Miyamoto;Kenshin Himura;Sanosuke Sagara;Takezo Shinmen;1
Quel est la particularité du personnage de Sasaki Kojiro dans Vagabond ?;Il est unijambiste;Il est borgne;Il est sourd;Il est muet;3
Quel est le surnom du général Ouki dans Kingdom ?;Le Dieu de la Guerre;L'Oiseau Monstrueux de Qin;Le Dragon de Qin;Le Lion de Qin;2
Comment Marshall D. Teach appelle-t-il son navire dans One Piece ?;Thriller Bark;Red Force;Moby Dick;Le Sabre de Xebec;4
Dans One Piece, quelle lettre est associée aux ennemies du Gouvernement Mondial ?;A;B;C;D;4
Dans Your Lie in April, Quel est le prénom de la violoniste lumineuse qui bouleverse la vie de Kôsei ?;Kaori;Sakura;Hinata;Yuki;1
Quel est le nom du créateur de JoJo's Bizarre Adventure ?;Masashi Kishimoto;Hirohiko Araki;Eiichiro Oda;Tite Kubo;2
Dans la partie Diamond is Unbreakable de JoJo's Bizarre Adventure, quel est le nom de la ville où se déroule l'action ?;Konoha;Néo-Tokyo;Morioh;Magnolia;3



