questions;choix1;choix2;choix3;choix4;num_bonne_reponse
Quel film Disney sorti en 1994 a donné naissance à une comédie musicale jouée sur scène depuis 1997 ?;La Belle et la Bête;Aladdin;Le Roi Lion;Mulan;3
Dans quel film d'animation voit-on réunis des Spider-Man issus de multiples univers parallèles ?;Spider-Man : Into the Spider-Verse;Spider-Man : No Way Home;Big Hero 6;Les Indestructibles;1
Pour quel film Disney Elton John a-t-il écrit et interprété plusieurs chansons mémorables dans les années 90 ?;Le Livre de la Jungle;Le Prince d'Égypte;Le Roi Lion;Aladdin;3
Quel studio a produit Shrek ?;Pixar;DreamWorks;Disney;Blue Sky;2
Qui est le réalisateur de Le Roi Lion (1994) ?;Brad Bird;John Lasseter;Roger Allers;Pete Docter;3
Quels sont les 4 animaux principaux de Madagascar ?;Un lion, une girafe, un zèbre et un hippopotame;Un lion, un tigre, un éléphant et un singe;Un lion, un léopard, un zèbre et un rhinocéros;Un lion, une girafe, un éléphant et un hippopotame;1
De quel Disney est tirée la chanson J'attends le miracle ?;Vaiana;Raiponce;Encanto;La Reine des Neiges;3
De quel Disney est tirée la chanson Qui je suis vraiment ?;Aladdin;Mulan;La Belle et la Bête;La Petite Sirène;2
De quel film d'animation est tirée la chanson Jamais Je N'avouerai ?;Le Roi Lion;Le Bossu de Notre-Dame;Le Livre de la Jungle;Hercule;4
Quel film d'animation a remporté l'Oscar du meilleur film d'animation en 2018 ?;Vice Versa;Spider-Man : Into the Spider-Verse;Soul;Coco;4
Dans Ratatouille, quel est le rêve du rat Rémy ?;Devenir chanteur;Devenir chef cuisinier;Devenir magicien;Devenir écrivain;2
Quel procédé d'animation est utilisé dans le film Wallace et Gromit ?;Animation en stop-motion;Animation 2D traditionnelle;Animation par ordinateur (3D);Animation vectorielle;1
Quel est le nom du dragon dans Dragons ?;Toothless (Krokmou);Stormfly (Tempête);Meatlug (Grasdur);Hookfang (Croque-Mitaine);1
Quel film de Michel Ocelot met en scène un petit garçon africain courageux ?;Azur et Asmar;Zarafa;Kirikou et la Sorcière;Les Contes de la nuit;3
Dans quel film un petit animal rêve de devenir un grand chef cuisinier ?;Ratatouille;Zootopie;Là-Haut;Le Monde de Nemo;1
Quel dessin animé français met en scène des footballeurs dans l'espace ?;Foot 2 Rue;Les Zinzins de l'espace;Code Lyoko;Galactik Football;4
Dans Space Jam, quel joueur de basketball partage l'affiche avec Bugs Bunny dans le film original des années 90 ?;LeBron James;Shaquille O'Neal;Kobe Bryant;Michael Jordan;4
De quel dessin animé est tirée le personnage de Tag;Foot 2 Rue;Galactik Football;Les Zinzins de l'espace;Code Lyoko;1
Dans Cédric, quel sport pratique le héros pour séduire Chen ?;Le football;Du karaté;Le tennis;Le rugby;2
Dans quel film d'animation Disney une course de voitures virtuelle décide du destin de l'héroïne ?;Cars;Les Mondes de Ralph;Zootopie;Turbo;2
Quel numéro porte le célèbre Flash McQueen ?;42;95;7;23;2
Dans Les Aristochats, quel chat joue du piano lors de la chanson Tout le monde veut devenir un cat ?;Duchesse;Toulouse;Berlioz;Scat Cat;4
Dans Les Cinq Légendes, quel personnage fredonne toujours la même chanson à cause d'un maléfice ?;Boule de Neige;Jack Frost;le Lapin de Pâques;le Marchand de Sable;1
Et le jour, la nuit, avec tes deux meilleurs amis ... tu recherches les cités d'or;Au bord du Faucon d'Or;Au bord du Grand Condor;Au bord du Grand Albatros;Au bord du Grand Mongol;2
Quel chat joue du piano lors de la chanson Tout le monde veut devenir un cat des Aristochats?;Duchesse;Toulouse;Berlioz;Scat Cat;3
Dans Coraline, quel objet est utilisé comme yeux par les habitants de l'autre monde effrayant ?;Des boutons;Des billes;Des pièces;Des perles;1
Quel film d'animation Tim Burton raconte l'histoire de Victor qui épouse une mystérieuse morte-vivante ?;L'Étrange Noël de monsieur Jack;Les Noces funèbres;Frankenweenie;Coraline;2
Dans Scooby-Doo, quelle créature effraie le gang dans le tout premier épisode ?;Un fantôme;Un loup-garou;Un vampire;Un monstre marin;1
