question;choix1;choix2;choix3;choix4;num_bonne_reponse
Qui fut le premier joueur français à remporter le Ballon d'Or ?;Michel Platini;Zinedine Zidane;Raymond Kopa;Thierry Henry;3
En quelle année Zinédine Zidane a-t-il remporté le Ballon d'Or ?;1998;2000;1995;2003;1
Combien de Ballons d'Or a gagné Lionel Messi (jusqu'en 2023) ?;8;5;7;6;3
Quel club est surnommé Les Dogues en France ?;LOSC;PSG;OM;OL;1
Qui a marqué le but vainqueur lors de la finale de la Coupe du Monde 2010 ?;Andres Iniesta;Xavi;David Villa;Fernando Torres;1
Qui détient le record de buts en Ligue 1 France ?;Edinson Cavani;Jean-Pierre Papin;Delio Onnis;Marco van Basten;3
Dans quel club Cristiano Ronaldo a-t-il débuté sa carrière ?;Sporting Portugal;Benfica;Manchester United;Juventus;1
Quel est le stade du Real Madrid ?;Camp Nou;Parc des Princes;Santiago Bernabeu;San Siro;3
Quel est le club surnommé'Les Gunners' ?;Chelsea;Liverpool;Arsenal;Everton;3
Qui est le meilleur buteur de l'histoire de la Ligue des Champions ?;Cristiano Ronaldo;Lionel Messi;Robert Lewandowski;Karim Benzema;1
Quel est le seul gardien de but ayant remporté le Ballon d'Or ?;Manuel Neuer;Iker Casillas;Peter Schmeichel;Lev Yachine;4
Quel joueur a marqué le but en or en finale de l'Euro 2000 ?;David Trezeguet;Zinedine Zidane;Thierry Henry;Laurent Blanc;1
Quel club anglais a surpris le monde en remportant la Premiere League en 2016 ?;Manchester United;Leicester City;Chelsea;Arsenal;2
Dans quel club mythique de Serie A Diego Maradona a-t-il joué ?;Naples;Parme;Milan;Juventus Turin;1
Qui a ete le premier entraineur a remporter la Ligue des Champions avec deux clubs differents ?;Jose Mourinho;Carlo Ancelotti;Ottmar Hitzfeld;Ernst Happel;2
Quel joueur a gagne trois Ballons d'Or consecutifs en 80, 81 et 82 ?;Michel Platini;Diego Maradona;Zinedine Zidane;Johan Cruyff;1
Quel entraîneur est surnommé'el loco' ?;Marcelo Bielsa;Pep Guardiola;Diego Simeone;Luis Enrique;1
Dans quel pays joue le club de Boca Juniors ?;Argentine;Bresil;Colombie;Uruguay;1
Qui a gagne la Ligue 1 en France en 2021 ?;PSG;Monaco;Lyon;LOSC;4
Nombre de Coupe du Monde gagnees par le Brésil ?;4;5;6;7;2
Qui a ete le premier joueur africain a remporter le Ballon d'Or ?;Samuel Eto'o;Didier Drogba;Mohamed Salah;George Weah;4
Quel est le meilleur buteur de l'histoire de la Coupe du Monde ?;Ronaldo;Gerd Muller;Miroslav Klose;Just Fontaine;3
Quel joueur est surnomme'Fenomeno' ?;Rivaldo;Ronaldinho;Ronaldo;Romario;3
