question;choix1;choix2;choix3;choix4;num_bonne_reponse
Quel groupe a sorti l'album Abbey Road ?;The Beatles;The Rolling Stones;The Who;Queen;1
Comment s'appelle la chanteuse de Rolling in the Deep ?;Adele;Rihanna;Beyonce;Angèle;1
Quel compositeur a écrit La Lettre à Elise ?;Beethoven;Chopin;Mozart;Bach;1
Qui interprète le hit Flowers en 2023 ?;Miley Cyrus;Taylor Swift;Selena Gomez;Olivia Rodrigo;1
Quel artiste est surnommé le King ?;Elvis Presley;Michael Jackson;Prince;Freddie Mercury;1
Qui est le chanteur principal de Queen ?;Freddie Mercury;Brian May;Roger Taylor;John Deacon;1
Quel duo a chanté Get Lucky ?;Daft Punk et Pharrell Williams;LMFAO;Maroon 5;Avicii;1
Le jazz est originaire de quelle ville américaine ?;Nouvelle-Orleans;Chicago;Memphis;Detroit;1
Quelle artiste est surnommée Queen B ?;Beyonce;Madonna;Ariana Grande;Doja Cat;1
Quel chanteur est né à Trelawny en Jamaique ?;Bob Marley;Dr Dre;Jay-Z;Snoop Dogg;1
Quelle artiste est la Material Girl ?;Madonna;Adele;Dua Lipa;Rihanna;1
Quel album est le plus vendu de tous les temps ?;Thriller;Back in Black;Dark Side of the Moon;Rumours;
Quelle chanteuse interprète Bad Guy ?;Billie Eilish;Dua Lipa;Camila Cabello;Selena Gomez;1
Qui compose pour Interstellar ?;Hans Zimmer;John Williams;Alan Silvestri;Danny Elfman;1
Quel artiste chante Take on Me ?;A-ha;Wham!;Bowie;U2;1
Qui chante Pour que tu m'aimes encore ?;Celine Dion;Lara Fabian;Vitaa;Natalie Imbruglia;1
Qui compose la bande originale du film Gladiator ?;Hans Zimmer;John Williams;James Horner;Ennio Morricone;1
Qui chante I Gotta Feeling ?;Black Eyed Peas;Daft Punk;Lady Gaga;Red Hot Chili Peppers;1
Qui ne faisait pas partie des Black Eyed Peas ?;Chris Brown;will.i.am;apl.de.ap;Fergie;1
De quelle nationalité est le groupe ABBA ?;Suédoise;Anglaise;Américaine;Française;1
Qui a composé Les Quatre Saisons ?;Vivaldi;Mozart;Beethoven;Bach;1
Dans le film La La Land, de quel genre musical Sebastien est-il passionné ?;Jazz;Rock;Classique;Pop;1
Qui signe la musique du Seigneur des Anneaux ?;Howard Shore;John Williams;Danny Elfman;Hans Zimmer;1
Quelle chanson de Simple Minds ouvre le film The Breakfast Club ?;Don't You (Forget About Me);Alive and Kicking;Sanctify Yourself;Belfast Child;1
Quel est le vrai nom de Lady Gaga ?;Stefani Germanotta;Alicia Moore;Robyn Fenty;Katheryn Hudson;1
Quel compositeur est indissociable du réalisateur Tim Burton ?;Danny Elfman;Hans Zimmer;John Williams;James Horner;1
Le thème Imperial March appartient à quelle saga de film ?;Star Wars;Harry Potter;Le Seigneur des Anneaux;Jurassic Park;1
Parmis ces films, lequel n'a pas été composé par John Williams ?;Retour vers le futur;Harry Potter;Jurassic Park;Star Wars;1
Quel album marqua le retour de Daft Punk en 2013 ?;Random Access Memories;Discovery;Homework;Human After All;1
Quel est le premier album solo de Beyoncé ?;Dangerously in Love;B'Day;4;Lemonade;1
Quel compositeur est surnommé le père de la symphonie ?;Haydn;Mozart;Beethoven;Bach;1
Quelle œuvre de Chopin est appelée La Marche funèbre ?;Sonate pour piano n°2;Nocturne op.9 n°2;Prélude op.28 n°15;Étude op.10 n°3;1
Quel single de The Weeknd est devenu l'un des plus gros hits mondiaux de 2020 ?;Blinding Lights;Save Your Tears;In Your Eyes;Heartless;1
Quel titre de Dua Lipa est associé au film Barbie (2023) ?;Dance the Night;Levitating;Don't Start Now;Physical;1
Quel tube de Psy a été le premier à dépasser le milliard de vues sur YouTube ?;Gangnam Style;Gentleman;Daddy;New Face;1
Quel groupe de K-pop chante Cupid en 2023 ?;FIFTY FIFTY;IVE;NewJeans;Twice;1
Quel groupe féminin a marqué 2023 avec OMG ?;NewJeans;BLACKPINK;Red Velvet;ITZY;1
Quel groupe a popularisé le style kawaii metal ?;Babymetal;One OK Rock;Crossfaith;Maximum the Hormone;1
Dans quel film d'animation Ado chante-t-elle toute la bande originale ?;Your Name;A Silent Voice;One Piece : Red;Weathering with You;1
Quel single a révélé Ado au grand public ?;Usseewa;Gira Gira;Odo;Readymade;1
Quelle chanteuse a remporté l'Eurovision 1977 avec L'oiseau et l'enfant ?;Marie Myriam;France Gall;Edith Piaf;Annie Philippe;1
Quelle artiste pop a fait danser la France avec Balance ton quoi ?;Angèle;Christine and the Queens;Vitaa;Louane;1
Quel géant du streaming a été créé en Suède en 2006 ?;Spotify;Deezer;Apple Music;Amazon Music;1
Quel live festival rapporte le plus au monde par édition ?;Coachella;Glastonbury;Lollapalooza;Tomorrowland;1
Quelle tenue extravagante de Lady Gaga a marqué les MTV Video Music Awards 2010 ?;Robe en viande;Robe en diamants;Robe en plumes;Robe en fleurs;1
Quel artiste jazz accompagne Lady Gaga sur l'album Cheek to Cheek ?;Tony Bennett;Herbie Hancock;Wynton Marsalis;Diana Krall;1
Quel film James Bond a Billie Eilish interprété la chanson-titre ?;No Time to Die;Skyfall;Spectre;Quantum of Solace;1
Quel instrument se joue à l'aide d'un archet ?;Le violon;La guitare;Le piano;La batterie;1
Quel instrument est considéré comme le plus ancien du monde ?;La flûte;Le tambour;La lyre;Le luth;1
Quel instrument traditionnel japonais à 13 cordes se joue avec des pics ?;Le koto;Le shamisen;Le biwa;Le taiko;1
Quel est la particularité du theremin ?;Il se joue sans être touché;Il se joue avec les pieds;Il se joue sous l'eau;Il se joue en dansant;1
