question;choix1;choix2;choix3;choix4;num_bonne_reponse
Quelle série est la série la plus piratée de l'histoire ?;Game of Thrones;Breaking Bad;The Walking Dead;Lost;1
Par quel type de surnom sont caractérisés les personnages de la série La Casa de Papel ?;Des noms d'animaux;Des noms de couleurs;Des noms de pays;Des noms de villes;4
Dans quelle série suit-on la transformation de Jimmy McGill en avocat véreux ?;Better Call Saul;Suit;The Sopranos;Ozark;1
Quels sont les 6 numéros mystérieux de la série Lost ?;1, 2, 3, 4, 5, 6;3, 9, 16, 17, 24, 43;4, 8, 15, 16, 23, 42;35, 38, 3, 7, 7, 3;3
Qui incarne le personnage de Joyce Byers dans la série Stranger Things ?;Natalia Dyer;Winona Ryder;Maya Hawke;Sadie Sink;2
Quelle série dystopique met en scène les servantes vêtues de rouge ?;The Handmaid's Tale;Black Mirror;Westworld;The 100;1
Dans The Office US, comment s'appelle la société fictive où travaillent les personnages ?;Wernham Hogg;Initech;Vandelay Industries;Dunder Mifflin;4
Quelle série française met en scène la vie délirante d'un hôpital ?;Hôpital en Folie;Un Gars, Une Fille;H;Plus Belle La Vie;3
Dans Kaamelott, quel est le nom du roi incarné par Alexandre Astier ?;Arthur;Lancelot;Perceval;Gauvain;1
Quelle série française du début des années 2010 suit un mec ordinaire dans un format courte durée de 5 minutes par épisode ?;Enfin;Bref.;Scènes de Ménages;Caméra Café;2
Quelle série Netflix met en scène une américaine qui vient travailler en France;Emily in Paris;Mercredi;La Vie en Rose;Welcome Paris!;1
Quelle série suit cinq amis à New York, se terminant en 2004 ?;How I Met Your Mother;Friends;The Big Bang Theory;Seinfeld;2
Quel comédien incarne le tueur en série Dexter Morgan ?;James Gandolfini;Bryan Cranston;Jon Hamm;Michael C. Hall;4
Quel groupe d'amis geek est le cœur de The Big Bang Theory ?;Ross, Chandler, Joey et Monica;Jim, Pam, Dwight et Michael;Sheldon, Leonard, Howard et Raj;Ted, Marshall, Lily et Barney;3
Dans The Wire, quelle ville est le décor du drame ?;Chicago;Los Angeles;Baltimore;New York;3
Dans Scrubs, quel hôpital fictif abrite la série ?;Sacred Heart;Seattle Grace;Princeton-Plainsboro;County General;1
En quelle année commence Prison Break avec Michael et Lincoln ?;2003;2005;2007;2009;2
Quelle est le nom de la serie qui suit Micheal Jordan et les Chicago Bull lors de la saison 1997-1998 de NBA?;Winning Time;The Playmakers;The Last Dance;Slam Dunk;3
Quelle série Prime Vidéo suit des équipes de tout sports pendant une saison/compétition ?;The Final Cut;Behind the Game;Game Changers;All or Nothing;4
Dans Ted Lasso, quel est le nom de l'équipe de football que Ted entraîne ?;Manchester City;AFC Richmond;Chelsea FC;West Bromwich Albion;2
Dans Breaking Bad, quelle maladie déclenche la crise existentielle de Walter White ?;Cancer du poumon;VIH;Leucémie;Alzheimer;1
Dans The Wire, quel fléau ravage la ville ?;Le chômage;La drogue;La pollution;Le capitalisme;2
Qui incarne le mafieux Tony Soprano ?;Al Pacino;James Gandolfini;Robert De Niro;Ray Liotta;2
Dans quelle série suit-on une famille à Birmingham dans les années 1920 ?;Peaky Blinders;Downton Abbey;The Crown;This Is England;1
Quel est la devise des Stark dans Game of Thrones ?;A Lannister always pays his debts;Fire and Blood;Valar Morghulis;Winter is Coming;4
Qui est le créateur des séries Breaking Bad et Better Call Saul ?;Vince Gilligan;David Chase;Shonda Rhimes;Matthew Weiner;1
Dans Stranger Things, comment s'appelle la ville où se déroule l'intrigue ?;Springfield;Hawkins;Riverdale;Sunnydale;2
Quelle série coréenne mélange zombies et dynastie féodale ?;Vincenzo;Kingdom;Squid Game;My Name;2
Dans Vincenzo, quel métier pratique le héros principal ?;Médecin;Policier;Juge;Avocat;4
Quelle saga télévisée policière propose chaque saison une intrigue indépendante ?;Fargo;Mindhunter;True Detective;The Killing;3
Qui incarne la reine Elizabeth II dans la saison 2 de la série The Crown ?;Olivia Colman;Claire Foy;Imelda Staunton;Emma Corrin;1
Quel acteur incarne Daredevil dans la série éponyme ?;Vincent D'Onofrio;Jon Bernthal;Elden Henson;Charlie Cox;4
Quelle actrice obtient l'Emmy Award en 2020 pour Euphoria ?;Sofia Boutella;Zendaya;Hunter Schafer;Sydney Sweeney;2
Qui est le comédien principal dans Sherlock de la BBC ?;Martin Freeman;David Tennant;Benedict Cumberbatch;Matt Smith;3
