question;choix1;choix2;choix3;choix4;num_bonne_reponse
Quel auteur est à l'origine des aventures de Tintin ?;Hergé;Mœbius;Uderzo;Franquin;1
Quelles couleurs habillent habituellement le costume de Spider-Man ?;Vert et jaune;Rouge et bleu;Noir et blanc;Violet et rose;2
Dans la série belge Les Schtroumpfs, qui est le sorcier ennemi des petits lutins bleus ?;Gargamel;Azrael;Peyo;Fantasio;1
Quel comics Marvel met en scène les mutants menés par le professeur Xavier ?;Les Vengeurs;Les X-Men;Les Quatre Fantastiques;Les Gardiens de la Galaxie;2
Quel personnage de bande dessinée vit de courtes aventures humoristiques à la rédaction du journal Spirou ?;Gaston Lagaffe;Spirou;Zorglub;Zantafio;1
Qui a créé Astérix le Gaulois ?;Uderzo et Goscinny;Hergé;Mœbius;Franquin;1
Quel cow-boy solitaire tire plus vite que son ombre ?;Lucky Luke;Blueberry;Tex Willer;Rantanplan;1
De quel auteur vient la série Titeuf ?;Zep;Bastien Vivès;Riad Sattouf;Joann Sfar;1
Parmi ces titres, lequel n'est PAS une BD de Riad Sattouf ?;L'Arabe du futur;Les Cahiers d'Esther;Pascal Brutal;Lastman;4
Quel super-héros est surnommé le chevalier noir ?;Superman;Batman;Iron Man;Spider-Man;2
Quel créateur est à l'origine de nombreux personnages de comics, dont Spider-man et Iron Man ?;Bob Kane;Stan Lee;Jack Kirby;Steve Ditko;2
Quel est le nom civil de Wonder Woman ?;Diana Prince;Lois Lane;Kara Zor-El;Barbara Gordon;1
Qui est le chef de la Ligue des Ombres chez DC Comics ?;Bane;Deathstroke;Black Mask;Ra's al Ghul;4
Quel antagoniste emblématique cherche toujours à vaincre Superman à Metropolis ?;Le Joker;Lex Luthor;Darkseid;Brainiac;2
Quel groupe DC rassemble Flash, Aquaman, Batman, Superman et Wonder Woman ?;La Ligue des Justiciers;Les Teen Titans;La Société de Justice;Les Défenseurs;1
Quel anti-héros adepte de l'humour noir est connu pour son costume rouge et sa régénération ?;Deadpool;Wolverine;Punisher;Ghost Rider;1
Qui est l'auteur de Sandman, comics culte du fantastique et du rêve ?;Alan Moore;Neil Gaiman;Frank Miller;Warren Ellis;2
Dans quelle quartier Daredevil opère-t-il ?;Brooklyn;Harlem;Hell's Kitchen;Greenwich Village;3
Quel crossover Marvel de 1984 réunit Spider-Man, les X-Men, Avengers et vilains sur Battleworld ?;Secret Wars;Infinity War;Civil War;Age of Apocalypse;1
Quel arc DC voit Flash et Superman changer l'histoire après une catastrophe temporelle majeure ?;Crisis on Infinite Earths;Flashpoint;Infinite Crisis;Final Crisis;2
Dans Civil War, quelle loi provoque la séparation entre héros pro et anti-inscription ?;Le Superhuman Registration Act;Le Hero Accountability Act;Le Vigilante Control Act;Le Metahuman Regulation Act;1
Quel crossover Marvel plonge la Terre dans un règne totalitaire sous Scarlet Witch ?;House of M;Secret Invasion;Dark Reign;Age of Ultron;1
Quel pays africain fictif est la patrie de Black Panther ?;Wakanda;Zamunda;Naboo;Genosha;1
Dans Watchmen, la ville où se concentre l'action est une version alternative de… ?;New York;Chicago;Los Angeles;Washington D.C.;1
Quel est le nom du super-héros masqué créé par Will Eisner, souvent considéré comme le premier comics moderne ?;The Spirit;The Shadow;The Phantom;The Avenger;1
Comment s'appelle le château où vit le capitaine Haddock ?;Château de Cheverry;Klow;Château de la Loire;Moulinsart;4
Quel objet recherche Tintin dans Le Secret de la Licorne ?;Le Toison d'Or;Le Lotus Bleu;Le trésor de Rackham le Rouge;Le Sceptre d'Ottokar;3
Quel pays fictif dispute la Syldavie dans l'univers de Tintin ?;Bordurie;Wakanda;Genosha;Bavaria;1
Comment s'appelle le chien de Tintin ?;Bill;Rantanplan;Milou;Pluto;3
